종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","970286","5265005","4294719","222117359600","1182892015650","960774656050"
"000660","SK하이닉스","138737","285949","147212","217697926500","440223725000","222525798500"
"214450","파마리서치","23384","389361","365977","8948756500","148749865250","139801108750"
"483650","달바글로벌","36602","288229","251627","9325417500","74610030439","65284612939"
"042700","한미반도체","34934","141433","106499","6161517700","24631920450","18470402750"
"271560","오리온","22199","130164","107965","2946546800","17556988450","14610441650"
"003230","삼양식품","57910","65002","7092","70076405500","80846865500","10770460000"
"207940","삼성바이오로직스","1885","8172","6287","2882850500","12402905000","9520054500"
"068270","셀트리온","21192","66640","45448","3799818500","12159007250","8359188750"
"089030","테크윙","14225","238427","224202","608915800","8669548475","8060632675"
"009540","HD한국조선해양","1576","18706","17130","535907750","6815844000","6279936250"
"105560","KB금융","57707","90927","33220","9812233750","15552345350","5740111600"
"316140","우리금융지주","24388","196560","172172","791667975","6446676000","5655008025"
"192820","코스맥스","4423","32342","27919","821679050","6173929850","5352250800"
"036930","주성엔지니어링","22346","61403","39057","2848683800","8191080250","5342396450"
"058610","에스피지","35940","96602","60662","2560472750","7566923350","5006450600"
"035720","카카오","3660","121682","118022","133249350","4387254000","4254004650"
"041830","인바디","8625","88892","80267","423717700","4413331675","3989613975"
"032350","롯데관광개발","25970","364204","338234","292371530","4204916425","3912544895"
"272210","한화시스템","2619","62660","60041","162246400","3828900600","3666654200"
"005380","현대차","15575","26382","10807","6022260000","9656257750","3633997750"
"003670","포스코퓨처엠","6694","31074","24380","880978000","4158638800","3277660800"
"079550","LIG디펜스앤에어로스페이스","4746","9333","4587","3222562000","6391291000","3168729000"
"267270","HD건설기계","26238","50400","24162","3135969300","6282887700","3146918400"
"078930","GS","25577","59617","34040","2300335300","5293728850","2993393550"
"448900","한국피아이엠","5401","53894","48493","277868950","2881346450","2603477500"
"019210","와이지-원","20377","149954","129577","376252725","2889346660","2513093935"
"042660","한화오션","96187","123817","27630","8212010400","10667289550","2455279150"
"260870","SK시그넷","16300","318307","302007","132682000","2587835910","2455153910"
